Time,Channel A
(s),(V)

197.20009844,-0.00720237
197.26676514,-0.00848415
197.33343184,-0.01001007
197.40009854,-0.00787378
197.46676524,-0.00909452
197.53343194,-0.01318400
197.60009864,-0.00628681
197.66676534,-0.00897244
197.73343204,-0.01190222
197.80009874,-0.00811792
197.86676544,-0.00738548
197.93343214,-0.00897244
198.00009884,-0.00958281
198.06676554,-0.00964385
198.13343224,-0.01220740
198.20009894,-0.00976592
198.26676564,-0.00933866
198.33343234,-0.01165807
198.40009904,-0.00756859
198.46676574,-0.00701926
198.53343244,-0.01007111
198.60009914,-0.01013215
198.66676584,-0.01171911
198.73343254,-0.01098666
198.80009924,-0.01068148
198.86676594,-0.00927763
198.93343264,-0.01080355
199.00009934,-0.01184118
199.06676604,-0.00689718
199.13343274,-0.01489303
199.20009944,-0.01123081
199.26676614,-0.01007111
199.33343284,-0.01428266
199.40009954,-0.01202429
199.46676624,-0.01190222
199.53343294,-0.01629688
199.60009964,-0.01355022
199.66676634,-0.01171911
199.73343304,-0.01495407
199.80009974,-0.01300089
199.86676644,-0.00970489
199.93343314,-0.01544237
200.00009984,-0.01434370
200.06676654,-0.01342814
200.13343324,-0.01568651
200.20009994,-0.01550340
200.26676664,-0.01470992
200.33343334,-0.01629688
200.40010004,-0.01666311
200.46676674,-0.01470992
200.53343344,-0.01867733
200.60010014,-0.01940977
200.66676684,-0.01727348
200.73343354,-0.01812799
200.80010024,-0.01940977
200.86676694,-0.01892148
200.93343364,-0.01873836
201.00010034,-0.02008118
201.06676704,-0.01879940
201.13343374,-0.01977599
201.20010044,-0.01892148
201.26676714,-0.02044740
201.33343384,-0.01940977
201.40010054,-0.02417066
201.46676724,-0.01477096
201.53343394,-0.02160710
201.60010064,-0.02417066
201.66676734,-0.01892148
201.73343404,-0.02105777
201.80010074,-0.02142399
201.86676744,-0.02185125
201.93343414,-0.02111881
202.00010084,-0.02325510
202.06676754,-0.02288888
202.13343424,-0.02130192
202.20010094,-0.02508621
202.26676764,-0.02032533
202.33343434,-0.02435377
202.40010104,-0.02520829
202.46676774,-0.02362133
202.53343444,-0.02490310
202.60010114,-0.02380444
202.66676784,-0.02410962
202.73343454,-0.02447584
202.80010124,-0.02526933
202.86676794,-0.02319407
202.93343464,-0.02417066
203.00010134,-0.02575762
203.06676804,-0.02459792
203.13343474,-0.02459792
203.20010144,-0.02697836
203.26676814,-0.02362133
203.33343484,-0.02233955
203.40010154,-0.02539140
203.46676823,-0.02294992
203.53343493,-0.02172918
203.60010163,-0.02478103
203.66676833,-0.02325510
203.73343503,-0.02221747
203.80010173,-0.02441481
203.86676843,-0.02569658
203.93343513,-0.02282785
204.00010183,-0.02575762
204.06676853,-0.02453688
204.13343523,-0.02136296
204.20010193,-0.02911466
204.26676863,-0.02264473
204.33343533,-0.02270577
204.40010203,-0.02526933
204.46676873,-0.02252266
204.53343543,-0.02221747
204.60010213,-0.02569658
204.66676883,-0.02337718
204.73343553,-0.02160710
204.80010223,-0.02325510
204.86676893,-0.02197333
204.93343563,-0.01922666
205.00010233,-0.02288888
205.06676903,-0.02026429
205.13343573,-0.01849422
205.20010243,-0.02252266
205.26676913,-0.02099673
205.33343583,-0.01965392
205.40010253,-0.02069155
205.46676923,-0.01977599
205.53343593,-0.01916562
205.60010263,-0.02002014
205.66676933,-0.01947081
205.73343603,-0.01611377
205.80010273,-0.01904355
205.86676943,-0.01800592
205.93343613,-0.01550340
206.00010283,-0.01867733
206.06676953,-0.01965392
206.13343623,-0.01605274
206.20010293,-0.01794488
206.26676963,-0.01660207
206.33343633,-0.01544237
206.40010303,-0.01489303
206.46676973,-0.01660207
206.53343643,-0.01428266
206.60010313,-0.01586962
206.66676983,-0.01281777
206.73343653,-0.01324503
206.80010323,-0.01171911
206.86676993,-0.01422163
206.93343663,-0.01019318
207.00010333,-0.01513718
207.06677003,-0.01391644
207.13343673,-0.00634785
207.20010343,-0.01116977
207.26677013,-0.00946074
207.33343683,-0.00805689
207.40010353,-0.00982696
207.46677023,-0.00976592
207.53343693,-0.00830104
207.60010363,-0.00878933
207.66677033,-0.01226844
207.73343703,-0.00750755
207.80010373,-0.01037629
207.86677043,-0.01049837
207.93343713,-0.00524918
208.00010383,-0.00555437
208.06677053,-0.00567644
208.13343723,-0.00311289
208.20010393,-0.00476089
208.26677063,-0.00598163
208.33343733,-0.00347911
208.40010403,-0.00213630
208.46677073,-0.00250252
208.53343743,-0.00061037
208.60010413,0.00122074
208.66677083,-0.00164800
208.73343753,0.00360118
208.80010423,0.00421155
208.86677093,0.00079348
208.93343763,0.00390637
209.00010433,0.00396741
209.06677103,0.00268563
209.13343773,0.00366222
209.20010443,0.00555437
209.26677113,0.00372326
209.33343783,0.00653096
209.40010453,0.00805689
209.46677123,0.00360118
209.53343793,0.00714133
209.60010463,0.00811792
209.66677133,0.00842311
209.73343803,0.00891141
209.80010473,0.01068148
209.86677143,0.00836207
209.93343813,0.01092563
210.00010483,0.01123081
210.06677153,0.01001007
210.13343823,0.01086459
210.20010493,0.01293985
210.26677163,0.01251259
210.33343833,0.01336711
210.40010503,0.02002014
210.46677173,0.01318400
210.53343843,0.01330607
210.60010513,0.01800592
210.66677183,0.01379437
210.73343853,0.01489303
210.80010523,0.01519822
210.86677193,0.01672414
210.93343863,0.01593066
211.00010533,0.01922666
211.06677203,0.01641896
211.13343873,0.01452681
211.20010543,0.01709037
211.26677213,0.01648000
211.33343883,0.01562548
211.40010553,0.01904355
211.46677223,0.01672414
211.53343893,0.01342814
211.60010563,0.01947081
211.66677233,0.01843318
211.73343903,0.01995911
211.80010573,0.01849422
211.86677243,0.01837214
211.93343913,0.01580859
212.00010583,0.02154607
212.06677253,0.01525925
212.13343923,0.01715140
212.20010593,0.01947081
212.26677263,0.01690725
212.33343933,0.01696829
212.40010603,0.02063051
212.46677273,0.02020325
212.53343943,0.01678518
212.60010613,0.01867733
212.66677283,0.01861629
212.73343953,0.01562548
212.80010623,0.01922666
212.86677293,0.01721244
212.93343963,0.01470992
213.00010633,0.01806696
213.06677303,0.01837214
